time,heading_angle
0,0
0.03333333,0.084901792
0.06666667,0.084901792
0.1,0.099668654
0.13333333,0.090659887
0.16666667,0.083141234
0.2,0.027020449
0.23333333,0.066568166
0.26666667,0.066568166
0.3,0.021273385
0.33333333,0.01960533
0.36666667,0
0.4,0
0.43333333,0
0.46666667,0
0.5,0
0.53333333,0
0.56666667,0
0.6,0
0.63333333,0
0.66666667,0
0.7,0
0.73333333,0
0.76666667,-0.027770645
0.8,0
0.83333333,0
0.86666667,-0.027770645
0.9,-0.027770645
0.93333333,-0.027770645
0.96666667,-0.027770645
1,-0.027770645
1.03333333,-0.027770645
1.06666667,0
1.1,0
1.13333333,0
1.16666667,-0.028563734
1.2,0
1.23333333,0
1.26666667,0
1.3,0
1.33333333,0.023251622
1.36666667,0.071307461
1.4,0.071307461
1.43333333,0.076771885
1.46666667,0.076771885
1.5,0.076771885
1.53333333,0.099668637
1.56666667,0.110657214
1.6,0.099668654
1.63333333,0.124355
1.66666667,0.124355
1.7,0.141897051
1.73333333,0.165148678
1.76666667,0.165148661
1.8,0.165148678
1.83333333,0.174672208
1.86666667,0.197395564
1.9,0.207496218
1.93333333,0.207496218
1.96666667,0.244978679
2,0.244978679
2.03333333,0.244978679
2.06666667,0.244978679
2.1,0.244978679
2.13333333,0.278299651
2.16666667,0.291456749
2.2,0.278299651
2.23333333,0.270946813
2.26666667,0.291456749
2.3,0.321750539
2.33333333,0.321750506
2.36666667,0.321750539
2.4,0.321750539
2.43333333,0.321750539
2.46666667,0.321750539
2.5,0.321750573
2.53333333,0.358770676
2.56666667,0.348771005
2.6,0.358770676
2.63333333,0.358770676
2.66666667,0.346538843
2.7,0.348770972
2.73333333,0.367173814
2.76666667,0.367173814
2.8,0.380506398
2.83333333,0.380506398
2.86666667,0.367173848
2.9,0.367173848
2.93333333,0.367173848
2.96666667,0.367173848
3,0.367173848
3.03333333,0.367173848
3.06666667,0.367173848
3.1,0.367173848
3.13333333,0.367173848
3.16666667,0.367173848
3.2,0.367173848
3.23333333,0.367173848
3.26666667,0.367173848
3.3,0.367173848
3.33333333,0.367173848
3.36666667,0.367173848
3.4,0.367173848
3.43333333,0.367173848
3.46666667,0.367173848
3.5,0.367173848
3.53333333,0.367173848
3.56666667,0.367173848
3.6,0.367173848
3.63333333,0.367173848
3.66666667,0.367173848
3.7,0.367173848
3.73333333,0.367173848
3.76666667,0.367173848
3.8,0.367173848
3.83333333,0.367173848
3.86666667,0.367173848
3.9,0.367173848
3.93333333,0.367173848
3.96666667,0.367173848
4,0.367173848
4.03333333,0.367173848
4.06666667,0.367173848
4.1,0.367173848
4.13333333,0.367173848
4.16666667,0.367173848
4.2,0.367173848
4.23333333,0.367173848
4.26666667,0.367173848
4.3,0.321750539
4.33333333,0.394791128
4.36666667,0.380506331
4.4,0.380506331
4.43333333,0.380506398
4.46666667,0.380506398
4.5,0.367173848
4.53333333,0.367173848
4.56666667,0.367173848
4.6,0.367173848
4.63333333,0.367173848
4.66666667,0.394791128
4.7,0.394791128
4.73333333,0.348770972
4.76666667,0.358770676
4.8,0.358770676
4.83333333,0.348770972
4.86666667,0.321750506
4.9,0.358770676
4.93333333,0.358770676
4.96666667,0.321750573
5,0.321750573
5.03333333,0.321750573
5.06666667,0.321750573
5.1,0.321750573
5.13333333,0.321750573
5.16666667,0.321750573
5.2,0.321750573
5.23333333,0.321750573
5.26666667,0.321750506
5.3,0.321750506
5.33333333,0.321750506
5.36666667,0.278299651
5.4,0.266252076
5.43333333,0.244978679
5.46666667,0.278299651
5.5,0.278299651
5.53333333,0.244978679
5.56666667,0.244978679
5.6,0.244978679
5.63333333,0.244978679
5.66666667,0.218668944
5.7,0.218668944
5.73333333,0.197395564
5.76666667,0.197395564
5.8,0.197395564
5.83333333,0.152649331
5.86666667,0.152649331
5.9,0.165148661
5.93333333,0.174672208
5.96666667,0.141897051
6,0.141897051
6.03333333,0.124355
6.06666667,0.110657214
6.1,0.124355
6.13333333,0.124355
6.16666667,0.099668654
6.2,0.090659887
6.23333333,0.090659887
6.26666667,0.090659887
6.3,0.104876931
6.33333333,0.090659887
6.36666667,0.071307461
6.4,0.026309718
6.43333333,0
6.46666667,0
6.5,0
6.53333333,0
6.56666667,0.049958397
6.6,0
6.63333333,0
6.66666667,0
6.7,0
6.73333333,0
6.76666667,0
6.8,-0.058755725
6.83333333,0
6.86666667,0
6.9,0
6.93333333,0
6.96666667,-0.058755725
7,-0.06241877
7.03333333,-0.063743427
7.06666667,0
7.1,0
7.13333333,-0.068076523
7.16666667,0
7.2,0
7.23333333,-0.055498546
7.26666667,0
7.3,-0.055498546
7.33333333,-0.055498546
7.36666667,-0.055498546
7.4,-0.055498546
7.43333333,-0.055498546
7.46666667,-0.058755725
7.5,-0.06241877
7.53333333,-0.06241877
7.56666667,-0.066568242
7.6,-0.040793769
7.63333333,-0.041642519
7.66666667,-0.066568242
7.7,-0.066568242
7.73333333,-0.066568242
7.76666667,-0.066568242
7.8,-0.06241877
7.83333333,-0.06241877
7.86666667,-0.06241877
7.9,-0.07130747
7.93333333,-0.07130747
7.96666667,-0.07677201
8,-0.07677201
8.03333333,-0.07677201
8.06666667,-0.07677201
8.1,-0.07677201
8.13333333,-0.07677201
8.16666667,-0.07130747
8.2,-0.07677201
8.23333333,-0.07677201
8.26666667,-0.07130747
8.3,-0.099668671
8.33333333,-0.099668671
8.36666667,-0.099668671
8.4,-0.07677201
8.43333333,-0.07677201
8.46666667,-0.07677201
8.5,-0.07130747
8.53333333,-0.066568242
8.56666667,-0.066568242
8.6,-0.066568242
8.63333333,-0.066568242
8.66666667,-0.066568242
8.7,-0.066568242
8.73333333,-0.066568242
8.76666667,-0.066568242
8.8,-0.066568242
8.83333333,-0.066568242
8.86666667,-0.066568242
8.9,-0.066568242
8.93333333,-0.052583051
8.96666667,-0.052583051
9,-0.052583051
9.03333333,-0.052583051
9.06666667,-0.052583051
9.1,-0.052583051
9.13333333,0
9.16666667,0
9.2,0
9.23333333,0
9.26666667,0
9.3,0
9.33333333,0
9.36666667,0
9.4,0
9.43333333,0
9.46666667,0.071307461
9.5,0.071307461
9.53333333,0.071307461
9.56666667,0.071307461
9.6,0.071307461
9.63333333,0.090659887
9.66666667,0.083141234
9.7,0.076771893
9.73333333,0.076771893
9.76666667,0.090659887
9.8,0.124355
9.83333333,0.110657223
9.86666667,0.110657223
9.9,0.141897051
9.93333333,0.165148678
9.96666667,0.165148678
10,0.174672208
10.03333333,0.165148678
10.06666667,0.165148678
10.1,0.197395564
10.13333333,0.165148678
10.16666667,0.179853505
10.2,0.218668944
10.23333333,0.197395564
10.26666667,0.218668944
10.3,0.226798843
10.33333333,0.244978679
10.36666667,0.179853488
10.4,0.244978679
10.43333333,0.231090644
10.46666667,0.244978679
10.5,0.244978679
10.53333333,0.286051464
10.56666667,0.26060238
10.6,0.321750539
10.63333333,0.330297389
10.66666667,0.321750539
10.7,0.321750573
10.73333333,0.34302397
10.76666667,0.34302397
10.8,0.358770676
10.83333333,0.330297389
10.86666667,0.358770709
10.9,0.358770709
10.93333333,0.358770676
10.96666667,0.380506331
11,0.404891799
11.03333333,0.412410435
11.06666667,0.46364759
11.1,0.46364759
11.13333333,0.46364759
11.16666667,0.46364759
11.2,0.493941414
11.23333333,0.486899284
11.26666667,0.519146136
11.3,0.499346699
11.33333333,0.512389497
11.36666667,0.568524572
11.4,0.540419467
11.43333333,0.588002599
11.46666667,0.55859937
11.5,0.588002599
11.53333333,0.588002533
11.56666667,0.588002533
11.6,0.648332053
11.63333333,0.620249419
11.66666667,0.643501079
11.7,0.643501079
11.73333333,0.643501145
11.76666667,0.703613818
11.8,0.710909348
11.83333333,0.67811931
11.86666667,0.694738234
11.9,0.718830055
11.93333333,0.732815113
11.96666667,0.750929069
12,0.769006207
12.03333333,0.718830055
12.06666667,0.785398163
12.1,0.748378094
12.13333333,0.785398163
12.16666667,0.785398163
12.2,0.785398163
12.23333333,0.785398163
12.26666667,0.785398163
12.3,0.785398163
12.33333333,0.785398163
12.36666667,0.785398163
12.4,0.785398163
12.43333333,0.785398163
12.46666667,0.86217004
12.5,0.813961897
12.53333333,0.837981147
12.56666667,0.86217004
12.6,0.851966338
12.63333333,0.86217004
12.66666667,0.885066834
12.7,0.906021784
12.73333333,0.86217004
12.76666667,0.867182509
12.8,0.885066834
12.83333333,0.896055436
12.86666667,0.927295181
12.9,0.927295181
12.93333333,0.927295181
12.96666667,0.896055436
13,0.958258823
13.03333333,0.965251685
13.06666667,0.918927196
13.1,0.927295181
13.13333333,0.927295181
13.16666667,0.982793661
13.2,0.982793661
13.23333333,0.982793661
13.26666667,1.004067058
13.3,1.016488907
13.33333333,0.982793794
13.36666667,1.012197023
13.4,1.030376759
13.43333333,0.982793794
13.46666667,1.030376759
13.5,1.042721909
13.53333333,1.002271754
13.56666667,1.051650157
13.6,1.030376759
13.63333333,1.076854979
13.66666667,1.071449627
13.7,1.086318389
13.73333333,1.086318389
13.76666667,1.015302535
13.8,1.071449627
13.83333333,1.097440282
13.86666667,1.071449627
13.9,1.107148769
13.93333333,1.107148769
13.96666667,1.107148769
14,1.107148769
14.03333333,1.107148769
14.06666667,1.126377059
14.1,1.107148769
14.13333333,1.107148769
14.16666667,1.134169069
14.2,1.136842882
14.23333333,1.107148769
14.26666667,1.107148769
14.3,1.144168839
14.33333333,1.144168839
14.36666667,1.157107141
14.4,1.152572044
14.43333333,1.144168839
14.46666667,1.158385858
14.5,1.165904494
14.53333333,1.165904494
14.56666667,1.176005199
14.6,1.152572044
14.63333333,1.182477612
14.66666667,1.190289995
14.7,1.194306042
14.73333333,1.190289995
14.76666667,1.202100316
14.8,1.209067145
14.83333333,1.212025651
14.86666667,1.203622446
14.9,1.220068397
14.93333333,1.176005199
14.96666667,1.190289995
15,1.190289995
15.03333333,1.22777239
15.06666667,1.234121499
15.1,1.234121499
15.13333333,1.22777239
15.16666667,1.242243208
15.2,1.242676371
15.23333333,1.249045721